NO.,HVDC_CODE,SITE,EQ_NO,CASE_NO.,PKG,STORAGE,DESCRIPTION,L(CM),W(CM),H(CM),CBM,N.W(KGS),G.W(KGS),STACK,STACK_STATUS,HS_CODE,CURRENCY,PRICE,VESSEL,COE,POL,POD,ETD/ATD,ETA/ATA,DHL_WAREHOUSE,DSV_INDOOR,DSV_AL_MARKAZ,DSV_OUTDOOR,HAULER_INDOOR,DSV_MZP,MOSB,SHIFTING,MIR,SHU,DAS,AGI,STATUS_WAREHOUSE,STATUS_SITE,STATUS_CURRENT,STATUS_LOCATION_TEMP,STATUS_LOCATION,STATUS_LOCATION_DSV_INDOOR_DSV_AL_MARKAZ,STATUS_LOCATION_DSV_AL_MARKAZ,STATUS_LOCATION_DSV_INDOOR,STATUS_LOCATION_DATE,STATUS_LOCATION_DATE_YEAR,STATUS_LOCATION_DATE_MONTH,STATUS_STORAGE,WH_HANDLING_LEGACY,SITE_HANDLING,TOTAL_HANDLING,MINUS,FINAL_HANDLING,SQM,STACK_STATUS2,STATUS_LOCATION_YEARMONTH,VENDOR,SOURCE_FILE,SITE_HANDLING_ORIGINAL,TOTAL_HANDLING_ORIGINAL,WH_HANDLING_ORIGINAL,FLOW_CODE,FLOW_DESCRIPTION,FINAL_LOCATION
11,HVDC-ADOPT-HE-0001,DAS,EQ-001,207731,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
12,HVDC-ADOPT-HE-0001,DAS,EQ-001,207732,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
13,HVDC-ADOPT-HE-0001,DAS,EQ-001,208221,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-17,,1,1,site,DAS,DAS,,,,2025-05-17,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
14,HVDC-ADOPT-HE-0001,DAS,EQ-001,208222,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-17,,1,1,site,DAS,DAS,,,,2025-05-17,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
15,HVDC-ADOPT-HE-0002,DAS,EQ-001,207603,1,Outdoor covered,Top + bottom conductors Neg,270,105,138,3.9123,294,470,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,,,,,2025-05-21,,1,1,site,DAS,DAS,,,,2025-05-21,2025,5,site,1,1,2,0,2,2.835,3,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
16,HVDC-ADOPT-HE-0002,DAS,EQ-001,207604,1,Outdoor covered,Top + bottom conductors Neg,270,105,138,3.9123,294,470,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,,,,,2025-05-21,,1,1,site,DAS,DAS,,,,2025-05-21,2025,5,site,1,1,2,0,2,2.835,2,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
17,HVDC-ADOPT-HE-0002,DAS,EQ-001,207773,1,Outdoor covered,Side Shield Holders,420,205,140,12.054,590,1031,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,,,,,2025-05-16,,1,1,site,DAS,DAS,,,,2025-05-16,2025,5,site,1,1,2,0,2,8.61,2,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
18,HVDC-ADOPT-HE-0002,DAS,EQ-001,207772,1,Outdoor covered,Side Shield Holders,420,205,140,12.054,590,1031,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,,,,,2025-05-16,,1,1,site,DAS,DAS,,,,2025-05-16,2025,5,site,1,1,2,0,2,8.61,2,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
19,HVDC-ADOPT-HE-0002,DAS,EQ-001,207789,1,Outdoor covered,Side Shield Pairs - Pack 1,420,205,140,12.054,590,1031,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,,,,,2025-05-16,,1,1,site,DAS,DAS,,,,2025-05-16,2025,5,site,1,1,2,0,2,8.61,2,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
20,HVDC-ADOPT-HE-0002,DAS,EQ-001,207790,1,Outdoor covered,Side Shield Pairs - Pack 1,420,205,140,12.054,590,1031,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,,,,,2025-05-16,,1,1,site,DAS,DAS,,,,2025-05-16,2025,5,site,1,1,2,0,2,8.61,2,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
