event_id,hvdc_code,event_type,location,location_code,location_match_method,location_match_score,event_date,source,raw
sev_HVDCADOPTHE0105_AGI_2025-04-30,HVDC-ADOPT-HE-0105,SITE,AGI,,NONE,0.0000,2025-04-30,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-04-30"", ""count"": 2, ""field"": ""AGI""}"
sev_HVDCADOPTHE0106_MOSB_2024-06-10,HVDC-ADOPT-HE-0106,PORT,MOSB,,NONE,0.0000,2024-06-10,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-06-10"", ""count"": 12, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0106_MIR_2024-10-18,HVDC-ADOPT-HE-0106,SITE,MIR,,NONE,0.0000,2024-10-18,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-10-18"", ""count"": 12, ""field"": ""MIR""}"
sev_HVDCADOPTHE0107_MOSB_2024-06-10,HVDC-ADOPT-HE-0107,PORT,MOSB,,NONE,0.0000,2024-06-10,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-06-10"", ""count"": 2, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0107_MIR_2024-10-18,HVDC-ADOPT-HE-0107,SITE,MIR,,NONE,0.0000,2024-10-18,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-10-18"", ""count"": 2, ""field"": ""MIR""}"
sev_HVDCADOPTHE0108_DSVIndoor_2024-04-22,HVDC-ADOPT-HE-0108,WH,DSV Indoor,,NONE,0.0000,2024-04-22,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-07-01"", ""count"": 54, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0108_SHU_2024-11-20,HVDC-ADOPT-HE-0108,SITE,SHU,,NONE,0.0000,2024-11-20,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-16"", ""count"": 16, ""field"": ""SHU""}"
sev_HVDCADOPTHE0108_MOSB_2025-05-26,HVDC-ADOPT-HE-0108,PORT,MOSB,,NONE,0.0000,2025-05-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-26"", ""count"": 4, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0108_DAS_2025-05-30,HVDC-ADOPT-HE-0108,SITE,DAS,,NONE,0.0000,2025-05-30,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-07-21"", ""count"": 14, ""field"": ""DAS""}"
sev_HVDCADOPTHE0109_DSVIndoor_2024-04-22,HVDC-ADOPT-HE-0109,WH,DSV Indoor,,NONE,0.0000,2024-04-22,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-04-23"", ""count"": 9, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0109_SHU_2024-11-20,HVDC-ADOPT-HE-0109,SITE,SHU,,NONE,0.0000,2024-11-20,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-16"", ""count"": 3, ""field"": ""SHU""}"
sev_HVDCADOPTHE0109_MOSB_2025-05-26,HVDC-ADOPT-HE-0109,PORT,MOSB,,NONE,0.0000,2025-05-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-26"", ""count"": 1, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0109_DAS_2025-05-30,HVDC-ADOPT-HE-0109,SITE,DAS,,NONE,0.0000,2025-05-30,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-07-21"", ""count"": 2, ""field"": ""DAS""}"
sev_HVDCADOPTHE0110_MIR_2024-05-26,HVDC-ADOPT-HE-0110,SITE,MIR,,NONE,0.0000,2024-05-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-02-04"", ""count"": 48, ""field"": ""MIR""}"
sev_HVDCADOPTHE0110_DSVAlMarkaz_2024-05-29,HVDC-ADOPT-HE-0110,WH,DSV Al Markaz,,NONE,0.0000,2024-05-29,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-05-29"", ""count"": 2, ""field"": ""DSV Al Markaz""}"
sev_HVDCADOPTHE0110_DSVIndoor_2024-05-29,HVDC-ADOPT-HE-0110,WH,DSV Indoor,,NONE,0.0000,2024-05-29,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-05-29"", ""count"": 2, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0110_MOSB_2024-05-29,HVDC-ADOPT-HE-0110,PORT,MOSB,,NONE,0.0000,2024-05-29,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-05-29"", ""count"": 2, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0111_MIR_2024-06-23,HVDC-ADOPT-HE-0111,SITE,MIR,,NONE,0.0000,2024-06-23,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-06-28"", ""count"": 84, ""field"": ""MIR""}"
