hvdc_code,case_no,site_code,eq_no,pkg,description,final_location,storage,l_cm,w_cm,h_cm,cbm,nw_kg,gw_kg,sqm,vendor
HVDC-ADOPT-HE-0003,207617,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207618,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207619,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207620,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207621,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207622,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207623,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207624,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207625,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207626,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207627,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207628,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207629,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207630,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207631,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207632,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
