hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0091,PRL-DAS-007-O2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk,85043300,SEK,154715.7
HVDC-ADOPT-HE-0092,PRL-ZAK-005-O3 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk,85043300,SEK,147933.5
HVDC-ADOPT-HE-0093,PRL-CS-006-O1,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,85045090,EUR,5745.71
HVDC-ADOPT-HE-0094,PRL-CS-006-O2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,85045090,EUR,2960.74
HVDC-ADOPT-HE-0095,PRL-SHU-009-O1,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,85045090,EUR,14123.42
HVDC-ADOPT-HE-0096,PRL-SHU-009-O2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,85045090,EUR,7966.43
HVDC-ADOPT-HE-0097,PRL-MIR-009-O1,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,85045090,EUR,19811.59
HVDC-ADOPT-HE-0098,PRL-MIR-009-O2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,85045090,EUR,9152.09
HVDC-ADOPT-HE-0099,PRL-SHU-014-O1,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Marie,85332900,SEK,423023.4
HVDC-ADOPT-HE-0100,PRL-SHU-014-O2 Spare,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Marie,85332900,SEK,206943.8
HVDC-ADOPT-HE-0101,PRL-ZAK-008-O,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,90308900,SEK,418525.6
HVDC-ADOPT-HE-0102,PRL-CS-003-O,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Luciana,90308900,SEK,209262.8
HVDC-ADOPT-HE-0103,PRL-ZAK-005-O1,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk/Luciana,85043300,SEK,147988.9
HVDC-ADOPT-HE-0104,PRL-ZAK-004-O1,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk/Luciana,85352900,SEK,114355.1
HVDC-ADOPT-HE-0105,PRL-ZAK-004-O2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk/Luciana,85352900,SEK,114355.0
HVDC-ADOPT-HE-0106,PRL-MIR-005-O1,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk/Luciana,85352900,SEK,114355.1
