hvdc_code,case_no,flow_code,flow_code_original,flow_code_derived,override_reason,warehouse_count,has_mosb_leg,has_site_arrival,customs_code,customs_start_iso,customs_end_iso,last_status,requires_review
HVDC-ADOPT-HE-0003,207616,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207617,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207618,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207619,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207620,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207621,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207622,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207623,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207624,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207625,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207626,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207627,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207628,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207629,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207630,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207631,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207632,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207633,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207634,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207635,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207636,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207637,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207638,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207699,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207712,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207713,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207714,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
